epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.0041,0.6181,9.06594,1.05206,0,0,0,0,0,21.5234,0,0,0,0
2,183.377,0.7616,50.7721,0.94241,0,0,0,0,0,23.7337,0,1.9604e-05,1.9604e-05,1.9604e-05
3,261.67,1.22996,25.6582,1.68249,0,0,0,0,0,29.0344,0,3.8416e-05,3.8416e-05,3.8416e-05
4,337.537,0.66994,23.0964,1.1485,0,0,0,0,0,40.1786,0,5.6436e-05,5.6436e-05,5.6436e-05
5,418.176,0.81439,8.66943,1.07227,0,0,0,0,0,56.4341,0,7.3664e-05,7.3664e-05,7.3664e-05
6,501.599,0,123.384,0,0,0,0,0,0,69.3126,0,9.01e-05,9.01e-05,9.01e-05
7,569.239,0.35479,14.9268,1.0265,0,0,0,0,0,71.9169,0,0.000105744,0.000105744,0.000105744
8,647.082,0,106.634,0,0,0,0,0,0,65.9841,0,0.000120596,0.000120596,0.000120596
9,723.385,0.43881,7.17985,0.84943,0,0,0,0,0,54.9196,0,0.000134656,0.000134656,0.000134656
10,811.122,0.54787,6.12061,0.85204,0,0,0,0,0,43.389,0,0.000147924,0.000147924,0.000147924
11,912.29,0.27598,10.6772,0.90316,0,0,0,0,0,31.7529,0,0.0001604,0.0001604,0.0001604
12,1000.97,0.3766,6.30672,0.77345,0,0,0,0,0,24.1577,0,0.000172084,0.000172084,0.000172084
13,1089.52,0,71.6648,0,0,0,0,0,0,17.6675,0,0.000182976,0.000182976,0.000182976
14,1160.1,0,58.9343,0,0,0,0,0,0,15.2539,0,0.000193076,0.000193076,0.000193076
15,1228.42,0.87534,6.04267,0.85645,0,0,0,0,0,14.9163,0,0.000202384,0.000202384,0.000202384
16,1306.42,0.75689,5.6717,0.9341,0,0,0,0,0,23.6111,0,0.0002109,0.0002109,0.0002109
17,1378.79,0.51833,3.80769,0.98982,0,0,0,0,0,36.5808,0,0.000218624,0.000218624,0.000218624
18,1446.41,0.31755,5.17431,0.93408,0,0,0,0,0,36.5808,0,0.000225556,0.000225556,0.000225556
19,1528.48,0.75924,4.31264,1.2724,0,0,0,0,0,38.3337,0,0.000231696,0.000231696,0.000231696
20,1594.69,0.60807,2.4404,1.00007,0,0,0,0,0,38.3337,0,0.000237044,0.000237044,0.000237044
21,1659.47,0.48799,5.72778,1.10713,0,0,0,0,0,18.098,0,0.0002416,0.0002416,0.0002416
22,1723.94,0.51812,5.52246,1.05672,0,0,0,0,0,18.098,0,0.000245364,0.000245364,0.000245364
23,1793.79,0,33.4036,0,0,0,0,0,0,8.16802,0,0.000248336,0.000248336,0.000248336
24,1860.73,0.58499,4.54991,0.78313,0,0,0,0,0,8.16802,0,0.000250516,0.000250516,0.000250516
25,1938.58,0.31159,2.30655,0.76887,0,0,0,0,0,6.95217,0,0.000251904,0.000251904,0.000251904
26,2018.54,0.46417,2.86649,0.97352,0,0,0,0,0,6.95217,0,0.0002525,0.0002525,0.0002525
27,2091.58,0.36913,3.87266,0.67165,0,0,0,0,0,9.29807,0,0.000252304,0.000252304,0.000252304
28,2160.82,0.4188,1.33224,0.87856,0,0,0,0,0,9.29807,0,0.000251316,0.000251316,0.000251316
29,2225.5,0.66619,2.72933,1.09984,0,0,0,0,0,11.7571,0,0.000249536,0.000249536,0.000249536
30,2288.57,0,28.0648,0,0,0,0,0,0,11.7571,0,0.000246964,0.000246964,0.000246964
31,2352.12,0.35825,3.08969,0.68641,0,0,0,0,0,12.6706,0,0.0002436,0.0002436,0.0002436
32,2406.55,0.31814,1.98565,0.80349,0,0,0,0,0,12.6706,0,0.000239444,0.000239444,0.000239444
33,2466.15,0.46403,1.28472,0.80738,0,0,0,0,0,8.75044,0,0.000234496,0.000234496,0.000234496
34,2529.88,0.41293,1.59774,0.89744,0,0,0,0,0,8.75044,0,0.000228756,0.000228756,0.000228756
35,2583.8,0.47556,3.87117,0.76428,0,0,0,0,0,5.22894,0,0.000222224,0.000222224,0.000222224
36,2638.13,0.45605,1.671,0.76202,0,0,0,0,0,5.22894,0,0.0002149,0.0002149,0.0002149
37,2689.47,0.56677,2.36372,0.97759,0,0,0,0,0,3.91338,0,0.000206784,0.000206784,0.000206784
38,2744.27,0,20.2582,0,0,0,0,0,0,3.91338,0,0.000197876,0.000197876,0.000197876
39,2802.17,0.10108,2.70904,0.65611,0,0,0,0,0,3.57522,0,0.000188176,0.000188176,0.000188176
40,2858.59,0.89252,1.9359,1.1302,0,0,0,0,0,3.57522,0,0.000177684,0.000177684,0.000177684
41,2919.03,0.45327,2.77016,0.80652,0,0,0,0,0,3.13889,0,0.0001664,0.0001664,0.0001664
42,2997.33,0.3634,2.67302,0.68467,0,0,0,0,0,3.13889,0,0.000154324,0.000154324,0.000154324
